MAINUPC,ITEMNAME,SIZENAME,PACKNAME,
3598506074,Mike's Seasonal  -  ,12 Oz,6-Pack,13.30
3598506744,Mikes Hard Blk Cherry ,,6-Pack,13.30
3598510033,WHITE CLAW MANGO ,,12-Pack,22.98
3598510042,Whiteclaw BLack Ch  ,16 Oz,4-Pack,10.88
3598510062,Mikes   Lemonade,,6-Pack,13.30
3598512001,Mikes Hard Lemon ,,12-Pack,22.98
3598512998,Mike Mix ,12 Oz,12-Pack,22.98
3598513215,Mikes Blk Cherry,24OZ,Single,4.10
3598519002,Mike S Peach,12 Oz,6-Pack,13.30
3598520025,WHITE CLAW  CHER,,6-Pack,13.30
3598520028,WHITE CLAW RUBY GRAPE  CAN,,6-Pack,13.30
3598522413,Mike's Straw Lemonade - ,,6-Pack,12.09
3598524583,MIKES LEMONADE 24OZ CAN,,,4.10
3598524985,Mike's Harder Cran - 24oz,,,4.09
3598525891,Mikes Mango Punch 24oz,,,4.10
3598526001,Mikes Variety,12 Oz,12-Pack,21.77
3598526038,White Claw Berry Cherry 19oz,,,4.49
3598526039,White Claw Mango 19oz,,,4.49
3598526066,WHITE CLAW RAS  ,12 Oz,6-Pack,13.30
3598526087,White Claw Mango ,,6-Pack,13.30
3598526089,White claw blk chry ,,12-Pack,22.98
3598550004,White Claw Natural Lime ,12 Oz,Single,4.83
3598554265,mike blck cherry  bti,,12-Pack,22.98
3598554890,White Claw  Variety Box,,12-Pack,22.98
3598560611,Mikes  Cran/lemon,,6-Pack,13.30
3598580006,WHITE CLAW TROPICAL  CAN,,12-Pack,22.98
3598580021,Mikes Pine. Mandarin,24OZ,Single,4.09
3598580026,WHITE CLAW #3  CAN,,12-Pack,22.98
3598580029,white claw iced tea  can,,12-Pack,24.19
3598580034,White Claw  Watermelon,,6-Pack,13.30
3598580036,White Claw Watermelon ,,12-Pack,22.98
3598580071,W.CLAW SURGE B.CHERRY ,,4-Pack,12.09
3598580080,White Claw Surge  Can,,12-Pack,22.98
3598580108,WHITE CLAW SURF V,,12-Pack,22.98
3598580157,White Claw Peach,12 Oz,6-Pack,13.30
3598580177,Mikes O Sugar Lemonade,12 Oz,6-Pack,13.30
3598580194,White Claw Pineapple,12 Oz,4-Pack,13.30
3598580196,White Claw Watermelon,12 Oz,4-Pack,13.30
3598580197,White Claw Vodka + Soda,12 Oz,8-Pack,25.40
3598580198,White Claw Black Cherry,32 Oz,Single,3.64
3598580199,White Claw ,16 Oz,,3.64
3598580201,White Claw Blach Cherry,16 Oz,Single,3.64
3598580205,White Claw Water Melon,16 Oz,Single,3.64
3598580207,White Claw Bloode Orange,16 Oz,Single,3.64
3598580208,White Claw Cranberry,16 Oz,Single,4.83
3598580209,White Claw Lime,16 Oz,Single,3.64
3598580213,White Claw Mango,20 Oz,,3.64
3598580214,White Claw Grape Fruit,16 Oz,Single,3.64
3598580215,White Claw Strawberry,16 Oz,,3.64
3598580241,Mikes Hard Party Pack,12 Oz,12-Pack,22.98
3598580252,White Claw Surge #2  Can,,12-Pack,22.98
3598580266,White Claw Vodka Spirit,12 Oz,8-Pack,25.40
3598580268,White Claw Green Apple,16 Oz,Single,4.83
3598580279,White Claw Non-Alc ,12 Oz,12-Pack,22.98
3598580299,White Claw Tequila,12 Oz,8-Pack,25.40
3598580364,White Claw Grape,12 Oz,4-Pack,13.30
3598580366,White Claw Peach,16 Oz,Single,3.64
3598580369,White Claw Bluberry,32 Oz,Single,4.83
3598580371,White Claw Peach,12 Oz,12-Pack,22.98
3598580443,White Claw 12 Pk Can,12 Oz,12-Pack,22.98
3604000027,Notorious Pink,750 ml,,22.98
3604000030,SCANDALOUS ONE CAB NOIR ,750 ml,,22.98
3604000300,Carupano Ron Reserva 6 Especial,750 ml,,24.19
3604000742,Libelula Reposado,750 ml,,49.60
3604001106,Hpnotiq  - ,750 ml,,33.87
3604001284,Hpnotiq ,200 ml,,12.09
3604001285,Hpnotiq  - ,375 ml,,19.35
3604001286,Hpnotiq ,1.75 Lt,,67.75
3604001287,Hpnotic ,50 ml,,6.52
3604001848,Domaine Canton Ginger - ,750 ml,,39.92
3604051932,Avion Repso,,,55.65
3604051934,Avion Silver ,750 ml,,52.02
3604052188,Avion Silver - ,375 ml,,32.66
3604052189,Avion Repo - ,375 ml,,32.66
3604052191,Avion Silver - ,50 ml,,6.04
3604052250,Russian Standard Gold - ,750 ml,,60.49
3604053273,Casa Dragones Teq Blanco,750 ml,Single,116.15
3604053711,Banhez Mezcal,750 ml,Single,44.76
3604053974,Libelula Tequila ,750 ml,Single,36.29
3604054411,TUCK ,750 ml,,39.92
3604054495,Dos Hombres ,750 ml,,72.59
3616011026,2 WAYCORK OPNER,,,5.69
3616019027,Distillers Reserve Bourbon Whiskey,750 ml,Single,36.29
3616019035,Distillers Reserve Rye Whiskey,750 ml,,36.29
3619105240,Red Label Wine - ,750 ml,,13.30
3619121240,Appleton Estate 15Yrs Black River Casks,750 ml,Single,84.69
3620200034,Amrut cask strength ,750 ml,,89.53
3620200038,Amrut Fusion ,750 ml,,84.69
3625177612,stone ipa   botal,12 Oz,6-Pack,13.30
3692011651,GOOSE ISLAND 15PK CAN,,15-PACK,30.24
3692011715,Goose Ipa 15 Oz,25 OZ,,2.77
3738600041,Feudi Montepulciano,750 ml,Single,12.09
3741100081,Giesen Sauv Blanc Zero Alcohol,750 ml,Single,15.72
3753474359,Lopez de Haro Crianza - ,750 ml,,14.51
3757100415,Vista Brisa Chard - ,1.5 Lt,,15.72
3.76012E+12,Blue De Mer,750 ml,,18.14
3.76012E+12,CROUS ST MARTIN,,,41.13
3.76015E+12,AUBRADE BORDEAUX ,750 ml,,14.51
3.76018E+12,MONKEY VODKA,,,36.29
3.76018E+12,IceKube Vodka ,750 ml,,24.19
3765422613,Turtle Nose ,,,4.84
3770407201,Troges perpetual  cans,,4-Pack,13.30
3787968954,Reputation Cabernet Sauvignon,750 ml,Single,24.19
3807520230,Verdi Bosca - ,750 ml,,8.46
3807520530,Verdi Raspberry - ,750 ml,,8.46
3807520630,Verdi Peach - ,750 ml,,8.46
3807521030,STAWBERRY VERDI 750,,,8.46
3848900029,Dogfish Head 60 IPA - ,12 Oz,6-Pack,14.51
3848900250,DOG FISH VDAKA  CAN,,4-Pack,19.35
3848900312,Dog Fish 90 Min Ipa ,12 Oz,6-Pack,16.93
3.85011E+12,Badel Sljivovica Brandy,1 Lt,,38.71
3890000808,Dole Pineapple 46oz can,,,5.41
3890000818,Dole Pineapple,1 Lt,,6.05
3890000914,Dole small,,,1.21
3890000963,Dole pineapple,,,1.51
3914600590,Cigar Zin - ,750 ml,,19.35
3929500682,Luscious Cabernet Sauvignon,750 ml,,10.88
3929500683,Luscious Cabernet Sauvignon Semi-Sweet,1.5 Lt,Single,22.98
3929500686,Luscious Moscato & Pinot Nior,750 ml,,10.88
3929500687,Luscious Moscato & Pinot Noir,1.5 Lt,Single,22.98
3938300229,Michter's Bourbon 10 Years,750 ml,,108.89
3938300630,santa marina pinot,,,9.67
3938300632,Santa Maria Pg - 1.5M +Tax,1.5 Lt,,13.30
3938300650,Mitcher's US 1 ,750 ml,,60.49
3938300718,Michtner's Bourbon - ,750 ml,,60.49
3938301006,Santa Marina Prosecco,750 ml,,12.09
3938301048,Cloutier Brut - ,750 ml,,36.29
3954300002,Gran Passia Roso Toscana,750 ml,,24.19
3954300012,Gran Bericanto Riserva,750 ml,,36.29
3959500253,SAO DOMINGOS,,,27.82
3974300149,Yellow Tail Bold Red - ,1.5 Lt,,15.72
3974300151,yellow tail pink moscato ,750 ml,,9.67
3974300152,Yellow Tail Pink Mosc - ,1.5 Lt,,15.72
3974300158,Yellow Tail Sangria ,1.5 Lt,,15.72
3974300169,Yellow Tail Sangria Blc - ,1.5 Lt,,15.72
3974300223,Yellow Tail Smooth Red- ,1.5 Lt,,15.72
3974300288,Yellow Tail Pinot Grigio -,1.5 Lt,,15.72
3974300291,Yellow Tail Sauvignon Blanc Pure Bright,1.5 Lt,Single,15.72
3974300293,Y.TAIL CAB.SAU ,750 ml,,12.09
3974300295,Yellow Tail Red Bland,750 ml,Single,12.09
3974300321,Yellow Tail Buttery Chardonay+Tax,1.75 Lt,,15.72
3974300337,Yellow Tail Red Blend,1.5 Lt,Single,15.72
3994911412,Super Bock Mini Lager,200 ml,6-Pack,12.09
3995803324,Sofia Blanc De Blancs,187 ml,4-Pack,24.19
3995803460,Coppola Sauv Blanc,,,19.06
3995806480,Coppola Diam Cab - ,750 ml,,21.77
3995812916,Coppola Votre Sante - ,750 ml,,6.04
3995818481,Francis Coppola ,375 ml,Single,13.30
3995897400,COPPOLA CLARET,,,24.19
3995897410,Coppola Diam  Merlot - ,750 ml,,21.77
4006340002,FOUR ROSES SINGLE BARREL,,,68.96
4006340031,Four Roses Small Batch ,750 ml,,48.39
4006340040,Four Rose ,750 ml,,31.45
4020226015,Glendalough Dbl Barrel Irish,750 ml,,60.49
4020227602,The Muff Liquor Company Vodka,700 ML,Single,38.71
4020227604,The Muff Liquor Company Whiskey,700 ML,Single,38.71
4023228833,four roses small bat.,750 ml,,78.64
4023237912,Uncle Nearest 1884 ,750 ml,,60.49
4023255544,Uncle Nearest 100pf ,750 ml,,72.59
4024560005,Jack Daniel Variety ,12 Oz,12-Pack,36.29
4026240013,Hard Mtn Dew    Mix Pack,12 Oz,12-Pack,22.98
4026240019,Hard Mtn Dew  Baja Blast,12 Oz,12-Pack,24.19
4026240020,Hare Mtn Dew ,12 Oz,12-Pack,24.19
4026240025,Hard Mtn Dew  Variety,12 Oz,12-Pack,24.19
4026240051,Lipton Hard Iced Tea,12 Oz,12-Pack,24.19
4074674908,Lusty Claw ,750 ml,,76.22
4103029879,Campo Rioja,,,16.93
4119006829,BOWL&BASKET PEACH,,,4.83
4119006830,BOWL&BASKET RED GRAPE,,,4.83
4124190012,Mundo De Yunter Temp / Syrah,,,6.04
4124400006,Martinellis Sparkling No Alcohol,750 ml,,7.25
4124412254,Martineffi's No Alcohol,,,7.25
4124499010,MARTINELLI SPARKLING CIDER,,,6.04
4161900532,Roblar Chard - ,750 ml,,12.09
4175500161,Pineapple,32 Oz,Single,4.83
4180034610,Welchs Mango Passion,16 Oz,Single,3.03
4182700206,Harpoon Dunkin Pumpkin ,12 Oz,6-Pack,14.51
4182780024,Dunkin Mix 12Pk Can,12 Oz,12-Pack,22.98
4182780124,Dunkin Spiked Iced Tea Mix Pack,12 Oz,12-Pack,22.98
4182781019,Dunkin Spiked Iced Tea,16 Oz,Single,4.83
4204703984,Brugal Double Reserva,700 ML,Single,38.71
4246150315,Muze Rasberry,12 Oz,4-Pack,19.35
4246150564,Muze Lemon,12 Oz,4-Pack,19.35
4246151322,Muze Peach,12 Oz,4-Pack,19.35
4257204006,Schofferhofer Grape - ,12 Oz,6-Pack,15.11
4265112310,Ferrari Carano Savignon Blanc,750 ml,Single,16.93
4265115210,Ferrari Carano Pinot Grigio,750 ml,Single,18.14
4265116810,Ferrari Carano Pinot Noir,750 ml,Single,39.92
4304112205,Nauti Seltzer ,,6-Pack,10.88
4330399606,Soon Hari ,375 ml,,7.25
4348599450,Soon Hari Apple Citron,375 ml,Single,7.25
4370920004,Gasolina Orignal,200 ml,Single,3.62
4370920011,Gasolinacocktail Grape Fruit,,5 pack,16.93
4370920017,Sangriiia Gasolina,200 ml,Single,3.62
4370920021,Gasolina Cocktail,200 ml,Single,3.62
4370920022,gasolinacocktail,,5 pack,16.93
4370920055,Gasolinacocktail Sangria,,5 pack,16.93
4370920518,Gasolinacocktail Sangria,,5 pack,16.93
4375010003,Presidente,750 ml,Single,24.19
4427197444,Silver Star Texas Whisky,750 ml,Single,24.19
4450400150,Seneca Cigar ,,,1.82
4460700372,Herradura Anejo Cristal,750 ml,,76.22
4460700710,Herradura Legand Anejo,750 ml,,205.69
4460700944,El Jimador Cristalino,750 ml,Single,36.29
4460701060,Herradura Blanc,375 ml,,35.08
4460701260,Herradura Reposado,375 ml,,39.92
4460704980,El Jimador Repo ,1.75 Lt,,53.23
4460705040,Herradura Silver 1Ltr,,,54.44
4460706320,Jimador Anejo,750 ml,Single,35.08
4460706820,El Jimador Blanco - ,750 ml,,30.24
4460706830,jimador 1 L,,,33.87
4460706840,El Jimador Silver - 1.75ml,,,48.39
4460706920,El JImador Repso - ,750 ml,,30.24
4460706930,EL JIMADOR REPOSADO,,,35.08
4460711132,Herradura Repso ,750 ml,,62.91
4480730126,Cr&f brandy ,750 ml,,42.34
4499613893,FINKA ROSE WINE ,750 ml,,20.56
4499613906,Summer In Bottle Rose ,750 ml,,32.66
4499613907,Summer In Bottle,1.5 Lt,Single,72.59
4499614009,Wolffer Summer In A Bottle Rose,750 ml,,31.45
4675100016,Ovr Vine Rose,750 ml,,19.35
4675100017,Old Vine Riesling,750 ml,,13.30
4675168713,Marietta Old Vine Red,,,21.77
4.71159E+12,lychee beer  can,,6-Pack,18.14
4.71159E+12,Sweet Touch Lychee Beer ,,6-Pack,18.14
4715405094,Lan Rioja ,750 ml,,18.14
4715408911,Vinalanciano Rioja,750 ml,Single,32.66
4715900181,Harken Chard - ,750 ml,,15.72
4715900250,Intercept Pinot Noir ,750 ml,,24.19
4735158990,American Metal Whiskey,750 ml,Single,49.60
4799520040,AMERICAN SPIRIT SKY,,,20.56
4799585505,American Spirits Menthol Lght,,,20.56
4799585508,American Spirits BLUE,,,20.56
4799585509,American Spirits YELLOW,,,20.56
4799585522,American Spirits Menthol,,,20.56
4799585524,American Spirit Dark Blue,,,20.56
4.82E+12,Odessa Vsop,100 ml,Single,2.41
4.82E+12,Kagor Red Dessert Wine,750 ml,Single,13.30
4826070477,Silver Star Vodka,750 ml,Single,8.46
4826070488,Silver Star 1849 Bourbon,750 ml,Single,29.03
4837500386,PRIMARUS PGO ,750 ml,,16.93
4.84001E+12,Cricova Semis Weet Cabernet Auvigon,750 ml,,13.30
4841552004,Lot 40 Rye - ,750 ml,,60.49
4850000000,Tropicana Orenge,32 Oz,,4.27
4850000174,tropicana orange,,,1.71
4850000672,Tropicana Cranberry,32 Oz,,4.83
4850000838,tropicana cranberry,,,1.54
4850000860,Juice,,,2.27
4850000861,Tropicana Apple 15fl,,,2.27
4850000864,Tropicana Cranberry 15oz,,,3.03
4850000868,Tropicana Pineapple 15oz,,,3.03
4.85E+12,Armenian Adam Brandy,375 ml,Single,48.39
4.85E+12,Diamond Armenian Vsop Brandy,750 ml,,29.03
4.85E+12,Armenian Brandy Queen Anna,750 ml,,60.49
4.85002E+12,Armenian Brandy Elephant,375 ml,,48.39
4.85002E+12,American Brandy Glass Revolver ,200 ml,,38.03
4.85003E+12,American Brandy,200 ml,Single,48.39
4.85003E+12,Armenian Brandy Ceramic Saxophone,750 ml,,42.34
4.85003E+12,American Brandy  Motorcycle Rider ,375 ml,Single,48.39
4.85003E+12,M-16 Rifle ,750 ml,,84.69
4855700000,CRABBIES GINGER BEER,,4-Pack,12.09
4.8676E+12,Mukuzani,750 ml,Single,24.19
4.8676E+12,Kindzmarauli,,,30.24
4.8676E+12,Khvanchkara,750 ml,,36.29
4.8676E+12,Saperavi Panda,750 ml,Single,24.19
4878950013,Cascinetta Vietti Asti - ,750 ml,Single,16.93
4900001916,Fanta,,,3.03
4900002468,coca cola 16.9oz,,,3.03
4900005011,Diet Coke - 2L,2 L,Single,4.60
4900005015,Sprite - 2L,2 L,Single,4.60
4900005025,Fanta -2L,2 L,Single,4.60
4918890036,Grand Marnier-,50 ml,,3.98
4918890037,Grand Marnier ,200 ml,,15.11
4918890038,grand,,,13.90
4918890046,Grand Marnier-375,,,29.03
4918890047,GRANDMARNIER ,750 ml,,48.39
4918890049,Grand ,1.75 Lt,,88.32
4918890055,Grandmarnier Louis Alexandre,750 ml,Single,84.69
4933100222,La Crema  Sonoma Chard -,750 ml,,27.82
4980600095,Fout Loko Apple - 24oz,,,4.34
4980600116,Four Loko Gold - 24oz,,,4.72
4980600267,Fourloko Grape,24OZ,Single,4.72
4980600283,FOUR LOKO  LEMONADE ,200 ml,,2.41
4980600290,FOUR LOKO BLUE RAZE ,200 ml,,2.41
4980600335,Mamitas Pineapple ,355 ML,4-Pack,12.09
4980600341,Mamitas Paloma ,355 ML,4-Pack,12.09
4980600412,FOUR LOKO SOUR PEACH ,200 ml,,2.41
4980600427,four loko variety pack,,,21.77
4980600454,Mamitas,12 Oz,8-Pack,21.77
4980600472,LOKO USA 24OZ CAN,,,4.72
4980600476,Mamitas Sunrise,355 ML,4-Pack,12.09
4980600492,Mamita 8 Pk Can,12 Oz,8-Pack,21.77
4980600502,Pirate Water 16Oz,16 Oz,4-Pack,10.88
4980600503,Pirate Water,16 Oz,4-Pack,4.83
4980600504,Pirate Water,16 Oz,4-Pack,10.88
4980600505,Pirate Water,16 Oz,4-Pack,10.88
4980600548,Mamitas Expresso Martini,355 ML,4-Pack,12.09
5000012056,Bold Rock Half n Half ,,12-Pack,20.93
5000114711,LAWSON LITTLESIP  CAN,16 Oz,4-Pack,20.56
5000255419,DRAKES ORGANIC 1 LITER,,,16.93
5000334765,Howler Head Banana,750 ml,,48.39
5000351619,Filibuster Bottled In Bond 5Yrs,750 ml,Single,96.79
5000356041,Prime Lime,,,3.63
5000356044,Prime Punch,,,3.63
5000356045,Prime Rasberry,,,3.63
5000356097,Prime Strawberry Watermelon,500 ml,,3.63
5000379947,Tip Top Margarita,100 ml,4-Pack,25.40
5000379949,Tip Top Old Fashioned,100 ml,4-Pack,25.40
5000379951,Tip Top Negroni,100 ml,4-Pack,25.40
5000379959,Tip Top Espresso Martini,100 ml,4-Pack,25.40
5000379972,Tip Top Mai Tai,100 ml,4-Pack,25.40
5000379987,Tip Top Cosmopolitan,100 ml,4-Pack,25.40
5000394589,Sour Pasture,375 ml,4-Pack,20.56
5000518915,Florida Man ,12 Oz,6-Pack,14.51
5000662616,kalo seltzer  can,,4-Pack,18.14
5000662641,Kalo,12 Oz,4-Pack,18.14
5000886778,High Octane Moscato ,750 ml,,7.25
5000918701,Fiddlehead Ipa ,16 Oz,4-Pack,18.14
5000918705,Fiddlehead Ipa,12 Oz,12-Pack,24.19
5000918732,Fiddlehead Imperial Ipa 4Pk,16 Oz,4-Pack,21.02
500100000,Deposit (0.10),,,0.12
5001061952,Canteen  Blk Cherry,12 Oz,4-Pack,13.30
5001069713,FISHER.FIZZ.4CAN,,,21.77
5001069714,FISHER.SPIKE TEA. CAN,,4-Pack,21.77
5001069715,FISHER.PINK. CAN,,4-Pack,21.77
5001257149,gloria water melon ,,4-Pack,13.30
5001257150,Rancho Gloria Marg,,,3.13
5001257151,rencho gloria mango ,,4-Pack,13.30
5001352400,Flecha Azul Blanco,750 ml,Single,60.49
5001352402,Flecha Azul Reposado,750 ml,Single,75.01
5001427509,Clase Azul Repo,750 ml,,229.89
5001427522,Clase Asul,375 ml,,133.09
5001564000,Teremana Blanco ,375 ml,,22.98
5001564001,Teremana Reposado ,375 ml,,26.61
5001564002,Teremana Blanco ,750 ml,,38.71
5001564004,Teremana Teq,1 Lt,,44.76
5001564005,Teremana Repesado,1 Lt,,49.60
5001564007,Teremana Blanco,50 ml,,6.04
5001564008,Teremana Blanco,1.75 Lt,Single,78.64
5001564010,Teremana Reposado,1.75 Lt,Single,83.48
5001564011,Teremana Reposado,50 ml,,6.04
5001564012,TEREMANA ANEJO ,750 ml,,54.44
5001564020,Teremana Reposado ,750 ml,Single,43.55
5001589900,Mijenta Blanco,750 ml,Single,64.12
5001724801,Salt Point Grapefruit,12 Oz,Single,6.26
5001724803,Salt Point Greyhound,12 Oz,4-Pack,24.19
5001724809,salt point  margarita,,,6.26
5001724810,salt point margarita  can,,4-Pack,24.19
5001724824,Salt Point Capecod,12 Oz,Single,6.26
5001724825,Salt Point Capecod ,12 Oz,4-Pack,24.19
5001733750,Post & Beam Cabernet Sauv Napa,750 ml,Single,84.69
500200000,Deposit Return,,,0.12
5002054405,Dos Hombres Tequila Blanco,750 ml,Single,54.44
5002308400,Casa Mexico Blanco,750 ml,Single,29.03
5002308402,Casa Mexico Blanco`,50 ml,,2.41
5002308406,Casa Mexico Anejo,750 ml,Single,48.39
5002419212,Noca Lemonade Vty,12 Oz,12-Pack,22.94
5002419217,Boozy Iced Tea,24OZ,Single,4.83
5002419228,Alcolo 8Pk 12 Oz,12 Oz,8-Pack,24.19
5002419232,Noca Berry Blast,12 Oz,12-Pack,22.94
5002468434,Waypont Uconn Rtd,355 ML,4-Pack,24.19
5002545711,Spindrift Spiked Paradise 12 Pk,12 Oz,,27.83
5002560512,Stateside Ruby Grapefruit,12 Oz,4-Pack,14.51
5002560515,Stateside Watermelon,12 Oz,4-Pack,14.51
5002560518,Stateside Vodka Party Pack 8Pk,12 Oz,8-Pack,24.19
5002560521,Surf Side  Iced Tea + Vodka,12 Oz,4-Pack,14.51
5002560531,Surfside Lemonade ,12 Oz,4-Pack,14.51
5002560550,Surfside Peach + Vodka,12 Oz,4-Pack,14.51
5002560552,Surfside Lemonade,12 Oz,4-Pack,14.51
5002560554,Surf Side  Iced&Lemonade,12 Oz,4-Pack,14.51
5002560556,Surf Side Assorted,12 Oz,8-Pack,26.61
5002560595,Surf Side Black Cherry Lemonade,12 Oz,4-Pack,14.51
5002832414,Gloria Marg Pink Lemonade,750 ml,,14.51
5002832426,Big Sipz Chocolate Martini,200 ml,Single,4.83
5002832451,Rancho Gloria Choc Martini,750 ml,,19.35
5002832471,Big Sipz Lime Margarita,200 ml,Single,4.83
5002832472,Big Sipz Strawberry Margarita,200 ml,Single,4.83
5002832474,Big Sipz Pina Colada,200 ml,Single,4.83
5002832486,Big Sipz Blue Raspberry Punch,355 ML,Single,4.83
5002910200,Whip Shots ,375 ml,,29.03
5002910205,Whips Shotlime,200 ml,,20.56
5002910206,Whip Shot Pumpkin,200 ml,,20.56
5002920595,High Rise Blueberry Thc,355 ML,4-Pack,18.14
5002920596,High Rise Mango Thc,355 ML,4-Pack,18.14
500300000,Tax Item,,,0.00
5003049400,Keepers 86 Irish And Amarican,750 ml,Single,44.76
5003049410,Keepers Heart 92 Proof,750 ml,Single,50.81
5003049445,Keepers Heart Bourbon,750 ml,Single,64.12
5003218913,Avaline Pinot Noir,750 ml,Single,26.61
5003420422,Sabe Grapefruit Paloma,250 ml,4-Pack,16.93
5003523100,COPPA PINACOLADA ,750 ml,,19.35
5003523104,Coppa Mojito,750 ml,,19.35
5003523106,Coppa Cosmopolitan,750 ml,,19.35
5003523108,Coppa Sex On Beach,750 ml,,19.35
5003701450,Disaronno - ,750 ml,,42.34
5003701451,Disaronno - ,375 ml,,22.98
5003701454,Disaronno - ,50 ml,,4.22
5003701554,Disaronno - ,200 ml,,16.93
5003701642,Disaronno,1.75 Lt,,78.64
5003739707,Disaronno Velvet,375 ml,,26.61
5003759601,Busker,,,4.54
5003759775,DISA-VELVET CREAM,750 ml,,45.97
5003833941,Groov Tropical,12 Oz,4-Pack,19.35
5003833942,Groov Mixed Berry,12 Oz,4-Pack,19.35
5003833943,Groov Citrus,12 Oz,4-Pack,19.35
5003846181,Numb Skull ,50 ml,Single,1.08
5003846183,Numb Skull,750 ml,,27.82
5003942441,Fisher Lemonade,12 Oz,8-Pack,33.87
5003942442,Fisher Lemonadw Blueberry,12 Oz,4-Pack,21.77
5003942443,Fisher Lemonadw,12 Oz,4-Pack,21.77
5003942445,Fishers Island Lemonade,12 Oz,4-Pack,21.77
5003942447,Fisher Half & Half,12 Oz,4-Pack,21.77
5003959812,Penelope Rio Cask,750 ml,Single,135.51
5003959821,Penelope Toasted ,750 ml,Single,120.99
500400000,Non-Tax Item,,,0.00
5004042708,Prime Ice Pop,500 ml,,3.63
5004263822,Buzzballz Lime Rita,187 ml,4-Pack,19.35
5004263824,Buzz Balls,,4-Pack,16.93
5004263874,Buzz Ball Berry Cherry ,187 ml,Single,4.83
5004652215,Happy Dad Grape,12 Oz,12-Pack,22.98
5004652217,Happy Dad  Raspberry,12 Oz,12-Pack,22.98
5004652291,Happy Dad Iced Tea Variaty Pack,12 Oz,12-Pack,22.98
5004652298,Happy Dad Half & Half,12 Oz,12-Pack,22.98
5004664402,Downeast Variety 9pk,,9 PACK,24.19
5004664405,Downeast Guava Passion Fruit,12 Oz,4-Pack,15.72
5004664440,Downeast Cider 9Pk,,9 PACK,24.19
5004700300,Angel's Envy ,750 ml,,67.75
5004700306,Angels Envy,750 ml,,120.99
5004759105,Monaco Spicy Margarita,12 Oz,,3.62
5004759113,Monaco Spicy Margarita,12 Oz,,3.62
5004941003,Mightowl Espresso M,,,18.14
5004943100,Aspen Vodka,750 ml,Single,36.29
500500000,Wine,,,0.00
5005007101,Surfside Raspberry  + Vodka,12 Oz,4-Pack,14.51
5005007105,Surfside Blueberry Lemonade+Vodka,12 Oz,4-Pack,14.51
5005007108,Surfside Lemonade Pack,12 Oz,8-Pack,26.61
5005007110,Surfside Iced Tea Vodka,700 ML,Single,7.85
5005007112,Surfside Lemonaed+Vodka,700 ML,Single,7.85
5005007116,Surfside Ice Tea Lemoned& Vodka,700 ML,Single,7.85
5005007123,Surfside Strawberry Lemonade,12 Oz,4-Pack,14.51
5005007127,Surfside Raspberry Tea + Vodka,12 Oz,4-Pack,14.51
5005007137,Surfside Green Tea + Vodka,12 Oz,4-Pack,14.51
5005007179,Surfside Strawberry,700 ML,Single,7.85
5005007184,Surf Side Green Tea Lemoned+ Vodka,12 Oz,4-Pack,14.51
5005089520,Delta Watermelon,12 Oz,4-Pack,18.14
5005089523,Delta Lime,12 Oz,4-Pack,18.14
5005271127,Soon Hari Peach,375 ml,Single,7.25
5005271128,Soju Apple,,,7.25
5005271129,Soon Hari Strwberry,375 ml,,7.25
5005271130,Soju,,,7.25
5005271131,Soon Hari Apple Mango,375 ml,Single,7.25
5005271173,Soon Hari Apple Iychee,375 ml,Single,7.25
5005271177,Soon Harii Plum,375 ml,,7.25
5005533722,Monaco Fight Night Var Can,187 ml,6-Pack,15.72
5005533724,Monaco Knockout Punch,12 Oz,Single,3.62
5005607717,Rancho Gloria Egg Nog,750 ml,,15.72
5005654504,Sprinter Vodka Soda,12 Oz,8-Pack,26.61
5005756901,Gin&Juice Melon,355 ML,4-Pack,16.93
5005756905,Gin&Juice Apricot,355 ML,4-Pack,16.93
5005756908,Gin&Juice Citrus,355 ML,4-Pack,16.93
5005756911,Gin&Juice Passionfruit,355 ML,4-Pack,16.93
5005756918,Gin&Juice Variety Pack,355 ML,8-Pack,32.66
5005792536,Happy Dad Variaty Pack,12 Oz,12-Pack,22.98
5005919510,Beat Box,500 ml,,6.04
5005919512,Beatbox Orange ,500 ml,,6.04
5005919529,Beat Box,500 ml,,6.04
5005919539,Beatbox Lemonade,500 ml,,6.04
5005919541,Beatbox Watermelon Lemonade,500 ml,,6.04
500600000,Beer,,,0.00
5006426531,Monaco Pornstar Crush,,,3.62
5006618005,Moon Water Variety,12 Oz,12-Pack,38.71
5006692900,Big Spiz Jugz Merica,1 Lt,Single,15.72
5006692902,Big Spiz Jugz Fruit Punch,1 Lt,Single,15.72
5006692903,Big Spiz Jugz Purple Punch,1 Lt,Single,15.72
500700000,Liquor,,,0.00
5007319707,Wip 3 Energy Pouches,100 ml,Single,1.69
5007319710,Wip 3 Energy Pouches Orange,100 ml,Single,1.69
5.01028E+12,Harveys Cream ,750 ml,,21.77
5.01028E+12,1920 Brandy ,1 Lt,,26.61
5.01028E+12,CR&F Extra Reserve ,750 ml,,60.49
5.01028E+12,Toky Suntory,750 ml,,55.65
5020000329,Sunny D Vodka,12 Oz,4-Pack,12.09
5020000341,Sunnyd Vodka Single ,355 ML,Single,3.62
5020000348,Sunny  D  Seltzer,12 Oz,8-Pack,22.98
5020000353,Sunny D Purple Vodka,12 Oz,4-Pack,12.09
