MAINUPC,ITEMNAME,SIZENAME,PACKNAME,
1820026425,Nutrl Vodka Selzer,24OZ,Single,4.83
1820026458,Nutrl Vodka Selzer,24OZ,Single,4.83
1820027030,Natural Ice,12 Oz,30-Pack,30.24
1820028523,natural light strawberry ,12 Oz,30-Pack,31.45
1820028753,Busch Apple,12 Oz,30-Pack,61.70
1820028792,Mich Ultra Pure Gold,12 Oz,18-Pack,27.82
1820028905,Stella Artois Can,11.2 Oz,24-Pack,42.34
1820029134,Busch Peach,12 Oz,30-Pack,35.08
1820053030,Bud Light Cans,12 Oz,30-Pack,39.92
1820053168,Bud Light ,12 Oz,24-Pack,31.45
1820053218,Bud Light ,12 Oz,18-Pack,26.61
1820053349,Bud Light Bottles,12 Oz,24-Pack,31.45
1820061030,Busch ,12 Oz,30-Pack,30.24
1820086031,Busch Light,12 Oz,30-Pack,30.24
1820095999,Lemon Rita ,25 OZ,Single,4.27
1820096044,Bud Light Plat ,12 Oz,18-Pack,26.61
1820096292,Bud Light Lime  ,12 Oz,18-Pack,26.61
1820096550,Michelob Ultra  box,12 Oz,30-Pack,42.34
1820096624,mic.ultra  btl,,18-Pack,26.61
1820096715,Michelob Ultra Can,12 Oz,24-Pack,33.87
1820096728,Michelob Ultra Light,12 Oz,24-Pack,35.08
1820097008,Budweiser Aluminium,16 Oz,12-Pack,24.19
1820097009,Bud Light Aluminum,16 Oz,12-Pack,24.19
1822745957,Coco Sky Cream Liquor,750 ml,Single,32.66
1825202090,Maison No. 9 Rose ,750 ml,,26.61
1834115101,Barefoot Cab Sauv ,1.5 Lt,Single,14.51
1834115102,Barefoot Sauv Blanc ,1.5 Lt,Single,14.51
1834115105,Barefoot Chard 1.50L,1.5 Lt,Single,14.51
1834115106,Barefoot White Zin 1.50L,1.5 Lt,Single,14.51
1834115110,Barefoot Merlot ,1.5 Lt,Single,14.51
1834175101,Barefoot Cab Sauv - ,750 ml,Single,8.46
1834175102,Barefoot Suav Blanc - ,750 ml,Single,8.46
1834175105,Barefoot Chard - ,750 ml,Single,8.46
1834175106,Barefoot White Zin - ,750 ml,Single,8.46
1834175110,Barefoot Merlot - ,750 ml,Single,8.46
1834175125,Barefoot x Dry ,750 ml,Single,13.30
1834175126,Barefoot Bubbly Brut,750 ml,Single,13.30
1872502003,Merotto Extra Dry ,750 ml,,18.14
1881901002,Tonel 46 Malbec,,,15.72
1884402068,Wolf Moon ,750 ml,,33.87
1884402073,bushmills ,750 ml,,41.13
1884402079,Jose Cuervo Light Margarita,,4-Pack,13.30
1884402086,1800 Cristalino Anejo ,1.75 Lt,Single,145.19
1884402092,Jose Cuervo Playa Mar ,,4-Pack,16.93
1884402151,jose.pla.blk.cherry can,,4-Pack,16.93
1884402153,jose.playa mar mango  can,,4-Pack,16.93
1884402234,Gran Centenario Reposado,375 ml,Single,25.40
1884402235,Centenario Reposado,1.75 Lt,Single,108.89
1884402253,MAESTRO SILVER ,750 ml,,75.01
1884402277,1800MARG.STRAWBERRY1.75ML,,,29.03
1884402284,Coramino Cris Reposadp,750 ml,,72.59
1884402299,JOSE CUR.PEACH.LEMO. 1.75ML,,,26.61
1884402314,1800 MARGARITA ORG.1.75ML,,,26.61
1884402316,1800 Pine,,,26.61
1884402317,1800 Margarita Mango,1.75 Lt,Single,26.61
1884402432,Kraken Gold Spiced Rum,750 ml,Single,31.45
1884402434,Kraken Gold Spiced Rum,1.75 Lt,Single,52.02
1884402435,Proper Twelve Apple 750,750 ml,,36.29
1884402438,Jose Cuervo Tropical Paradise,1.75 Lt,,26.61
1884402482,1800 Cucumber Jalapeno,750 ml,,45.97
1884402491,1800 Margarita Passion Fruit,1.75 Lt,Single,26.61
1884402494,Cuervo Caleta  Lime,1.5 Lt,,20.56
1884402498,Proper Twelve,50 ml,Single,3.98
1884402528,Coramino Cris Reposado,375 ml,Single,36.29
1884402529,Gran Coramino Reposado Cristalino,1.75 Lt,Single,133.09
1884402646,1800 Margwild Berry,1.75 Lt,,26.61
1884402659,Jose Cuervo Dragon Lemonde,1.75 Lt,,26.61
1884402663,Jose Cuervo Margarita,200 ml,6-Pack,20.56
1884402801,Jose Cuervo Reserve,750 ml,,27.82
1884402802,Jose Curvo Devil,1 Lt,,33.87
1884402804,Jose Devil's Reserve,375 ml,Single,18.14
1884402805,Jose Cuervo Devils,100 ml,Single,5.43
1884402806,Jose Curvo Reserve,50 ml,,2.27
1884402815,Gran Coramino Reposado,750 ml,Single,72.59
1884402816,Gran Coramino Repo 750Ml,750 ml,Single,32.66
1884402817,Gran Coramino Reposado ,1.75 Lt,Single,108.89
1884402877,Pendleton Bourbon 10 Yr 750Ml,750 ml,Single,55.65
1884402893,1800 Margarita Lighat,1.75 Lt,Single,26.61
1884402895,Tin Cup Bourbon 1.75L,1.75 Lt,Single,55.65
1884402936,1800 High Proof Repo.,375 ml,Single,22.98
1884402967,1800 High Proof Blanco,375 ml,Single,22.98
1905700131,Presidente  btl,,6-Pack,12.09
1905700156,Presidente Bottles,12 Oz,12-Pack,22.98
1957801001,TWOROADS DUBLE IPA BTL,,6-Pack,15.72
1957801002,TWO ROADS HONEYSPOTBTI,,6-Pack,12.09
1957801027,Two Roads IPA 95 ,,6-Pack,14.51
1957801035,Lil Heaven Two Roads,12 Oz,6-Pack,11.48
1957801036,Two Roads Lil' Heaven  Box,,12-Pack,22.98
1957801037,Two Roads Honeyspot,,12-Pack,22.98
1957801047,2 Roads,,4-Pack,13.30
1957801052,Two Roads Vareity pk,12 Oz,12-Pack,22.98
1957801063,Two roads lil heavean ,,4-Pack,12.09
1957801071,Two Road Lil Heaven,16 Oz,Single,5.43
1957801073,Tworoad R2r Ipa Bottles,12 Oz,12-Pack,24.19
1957801075,Two Roads Honeyspot Bottles,12 Oz,12-Pack,24.19
1957801095,Two Roads Two Juicy  cans,,4-Pack,20.56
1957801103,TWO ROADS LIL'HEAVEN- btl,,12-Pack,13.30
1957801121,Two Road Summer Heaven,12 Oz,6-Pack,15.72
1957801154,Lil Juicycan,16 Oz,4-Pack,20.56
1957801155,Two Roads Cruise Control ,,12-Pack,22.98
1957801168,H2roads ,,,3.63
1957801185,H2ROADS12CNP,,,22.07
1957801214,Two Road 12 Pk Can,12 Oz,12-Pack,24.19
1957801219,H2roads Passion Fruit,355 ML,Single,3.62
1957801236,Two Road  Ok2berfest,12 Oz,12-Pack,26.61
1957801239,Two Roads Mega Juicy,16 Oz,4-Pack,20.56
1957801250,Two Road Duble Ipa,16 Oz,Single,5.43
1957801255,Two Juicy ,16 Oz,Single,5.43
1957801274,2 Road Juciy Box,12 Oz,6-Pack,26.61
1957801286,Two Roads Summer Heaven,12 Oz,12-Pack,22.98
1957801292,2Roads Nightshaker Espresso Martini,12 Oz,4-Pack,20.56
1957801308,2 Roads Flavottown Spiked Variety ,12 Oz,8-Pack,13.30
1957801348,H2roads Citrus,355 ML,Single,3.62
1957801356,New Roads,12 Oz,4-Pack,18.14
1957801359,New Roads Tropical Daze,12 Oz,4-Pack,18.14
1975120103,Moretti ,12 Oz,6-Pack,15.72
1994700001,Tito's - 1L,,,32.66
1994700002,Titos -  ,750 ml,,26.61
1994700003,Titos Vodka - ,1.75 Lt,,39.92
1994700004,Tito's - ,200 ml,,9.67
